date,strategy_equity,bnh_equity,position,strategy_return
2022-09-26,0.999,1.0223550542393465,1.0,-0.001
2022-09-27,0.9912746671229501,1.0144491151877615,1.0,-0.007733065942992949
2022-09-28,1.0086118540739408,1.0321916183966082,1.0,0.017489791201171053
2022-09-29,1.0178958659900084,1.0416926759601817,1.0,0.009204742020994307
2022-09-30,1.0091205030003405,1.0327121587376873,1.0,-0.008621081274490728
2022-10-01,1.0033190996171177,1.0267751276360666,1.0,-0.005748969886127552
2022-10-02,0.9901144903582417,1.0132618153086717,1.0,-0.013160926831668118
2022-10-03,1.0198478517065384,1.043690296043362,1.0,0.030030225431342223
2022-10-04,1.0566711244436453,1.0813744391829168,1.0,0.03610663362725089
2022-10-05,1.0462852397110027,1.0718271231824956,0.0,-0.009828871530970444
2022-10-06,1.0462852397110027,1.0613211409563694,0.0,-0.0
2022-10-07,1.0462852397110027,1.038426936659971,0.0,-0.0
2022-10-08,1.0462852397110027,1.032464915368329,0.0,-0.0
2022-10-09,1.0462852397110027,1.033584688563745,0.0,0.0
2022-10-10,1.0462852397110027,1.0172533335318372,0.0,-0.0
2022-10-11,1.0462852397110027,1.0134319612832838,0.0,-0.0
2022-10-12,1.0462852397110027,1.0185113503316254,0.0,0.0
2022-10-13,1.0462852397110027,1.0301876178393805,0.0,0.0
2022-10-14,1.0462852397110027,1.019649201536844,0.0,-0.0
2022-10-15,1.0462852397110027,1.013931233377536,0.0,-0.0
2022-10-16,1.0462852397110027,1.0242245331353972,0.0,0.0
2022-10-17,1.0462852397110027,1.0394781197593714,0.0,0.0
2022-10-18,1.0452389544712917,1.0276519111114895,1.0,-0.001
2022-10-19,1.0342351810762496,1.0168332856570137,1.0,-0.010527519423161968
2022-10-20,1.0297978703814874,1.0124706365267253,1.0,-0.004290427144573167
2022-10-21,1.036420036067942,1.0189813785864914,1.0,0.0064305490202669026
2022-10-22,1.0385821772206123,1.0211071398568012,1.0,0.0020861630202297058
2022-10-23,1.0583783695401445,1.0405702442339129,1.0,0.019060785707404986
2022-10-24,1.0453622581688429,1.0277731401184007,1.0,-0.012298164575072573
2022-10-25,1.0859416131940056,1.0676697126340833,1.0,0.0388184619332302
2022-10-26,1.123339408338939,1.1044382577477567,1.0,0.03443812695872078
2022-10-27,1.096447759365211,1.079103522128016,0.0,-0.023939023926430263
2022-10-28,1.096447759365211,1.094880839330093,0.0,0.0
2022-10-29,1.096447759365211,1.1064629948456406,0.0,0.0
2022-10-30,1.096447759365211,1.096775840122335,0.0,-0.0
2022-10-31,1.096447759365211,1.0895052899446922,0.0,-0.0
2022-11-01,1.096447759365211,1.08912671515118,0.0,-0.0
2022-11-02,1.096447759365211,1.07148576782093,0.0,-0.0
2022-11-03,1.096447759365211,1.0744622589643003,0.0,0.0
2022-11-04,1.096447759365211,1.1244798584385494,0.0,0.0
2022-11-05,1.096447759365211,1.1325006460229976,0.0,0.0
2022-11-06,1.096447759365211,1.1115625887284677,0.0,-0.0
2022-11-07,1.096447759365211,1.0948430881919762,0.0,-0.0
2022-11-08,1.095351311605846,0.9861676639702078,1.0,-0.001
2022-11-09,0.9403598714174937,0.8466256331291231,1.0,-0.14149929666047167
2022-11-10,1.039478279951844,0.9358640065761424,1.0,0.10540476209915223
2022-11-11,1.0081282459978333,0.9076389162126787,1.0,-0.030159392994207772
2022-11-12,0.9928778517774578,0.8939086677676534,1.0,-0.015127434709738695
2022-11-13,0.9643985983797435,0.8682682010997815,1.0,-0.028683541834205007
2022-11-14,0.9815022140330872,0.8836669435083465,1.0,0.017735006751439773
2022-11-15,0.9981038417265768,0.8986137356718483,1.0,0.016914508654312512
2022-11-16,0.9840593997579924,0.8859692312273163,1.0,-0.014071123044962467
2022-11-17,0.985819310487835,0.8875537156158917,1.0,0.001788419205461935
2022-11-18,0.9862852734293939,0.8879732317845446,1.0,0.00047266566662030376
2022-11-19,0.9862988566330134,0.8879854610264697,1.0,1.3772083985734721e-05
2022-11-20,0.9614681698423347,0.8656298750809525,1.0,-0.0251756215914562
2022-11-21,0.932002067172954,0.8391009274019031,1.0,-0.030646987174014047
2022-11-22,0.9583210006210832,0.8627964128974904,1.0,0.028239136344367262
2022-11-23,0.9805366254279557,0.8827976039193127,1.0,0.023181819862524915
2022-11-24,0.9802909466146623,0.882576414152317,1.0,-0.00025055546822251096
2022-11-25,0.97575474717979,0.8784923790554561,1.0,-0.0046274011307944965
2022-11-26,0.9720004678141498,0.8751123229285528,1.0,-0.0038475645406708643
2022-11-27,0.9702411476583779,0.8735283702461483,1.0,-0.0018099992891241993
2022-11-28,0.9574924252002883,0.8620504291400506,1.0,-0.013139746225830463
2022-11-29,0.971053187005201,0.8742594662308095,1.0,0.014162787556336215
2022-11-30,1.0136400737970344,0.9126013299034742,1.0,0.043856389497236775
2022-12-01,1.0026394505873788,0.9026972390625383,1.0,-0.010852593039704891
2022-12-02,1.0094529036377786,0.908831533153475,1.0,0.0067955166200655715
2022-12-03,0.9971961293803462,0.8977965032875393,1.0,-0.012141997128605529
2022-12-04,1.010218287633039,0.909520624350654,1.0,0.013058773363655745
2022-12-05,1.0019886379617793,0.9021112988624678,1.0,-0.008146407337905037
2022-12-06,1.009229666639161,0.9086305482209643,1.0,0.007226657471996074
2022-12-07,0.9943283016944017,0.8952145381228007,1.0,-0.014765088103664573
2022-12-08,1.017210684626775,0.9158160254113014,1.0,0.023012905187733367
2022-12-09,1.011568339958012,0.9107361046567891,1.0,-0.005546879082216037
2022-12-10,1.0115051485324773,0.9106792120965281,1.0,-6.246876561717441e-05
2022-12-11,1.0089987521776278,0.9084226511082351,1.0,-0.0024778878866665416
2022-12-12,1.01636793542829,0.9150572807057654,1.0,0.007303461213166042
2022-12-13,1.0497276929439294,0.9450917671679945,1.0,0.03282252061757722
2022-12-14,1.0503581484813216,0.9466044712235302,0.0,0.0006005896020749
2022-12-15,1.0503581484813216,0.9228473078121459,0.0,-0.0
2022-12-16,1.0493077903328403,0.884340083520405,1.0,-0.001
2022-12-17,1.0584178764147145,0.8920179206247758,1.0,0.00868199604139469
2022-12-18,1.0560009276765108,0.8899809542849666,1.0,-0.0022835486739801406
2022-12-19,1.0371164258282601,0.8740653934785173,1.0,-0.017883035282745176
2022-12-20,1.0659280194007692,0.8983473508803457,1.0,0.02778048139532622
2022-12-21,1.0614556232626522,0.894578085836517,1.0,-0.004195776878659426
2022-12-22,1.0612512141289592,0.8944058130372223,1.0,-0.0001925743565845846
2022-12-23,1.0585427931075266,0.892123198446567,1.0,-0.0025521016940890455
2022-12-24,1.062177995046845,0.895186889401926,1.0,0.0034341568078194704
2022-12-25,1.0619250071992807,0.8949736752274904,1.0,-0.00023817839264619162
2022-12-26,1.0674314359612334,0.8996144066850352,1.0,0.005185327329728645
2022-12-27,1.0539915354209173,0.8882874701314059,1.0,-0.012590879458420122
2022-12-28,1.043957191990709,0.8798306834870142,1.0,-0.009520326390667942
2022-12-29,1.0493929608052124,0.884411863853445,1.0,0.005206888612106732
2022-12-30,1.0477532714889526,0.8830299595158922,1.0,-0.0015625122118236062
2022-12-31,1.0436474238282298,0.8795696157572188,1.0,-0.003918716144773206
2023-01-01,1.0483381087325743,0.8835228511360966,1.0,0.00449451107457192
2023-01-02,1.0518786768137016,0.8865067861658562,1.0,0.003377315058600447
2023-01-03,1.0520244129553162,0.8866296102912794,1.0,0.00013854843227358637
2023-01-04,1.0630763858072743,0.8959440389889504,1.0,0.010505433824402513
2023-01-05,1.0619086039971946,0.8949598508670534,1.0,-0.0010984928511914307
2023-01-06,1.0694036055659388,0.9012765201745275,1.0,0.007058047689351018
2023-01-07,1.0689569337552762,0.9009000722056982,1.0,-0.0004176830976984213
2023-01-08,1.0805817568954852,0.910697290106331,1.0,0.010874921873017435
2023-01-09,1.0837633472078736,0.9133786843249834,1.0,0.002944330951439654
2023-01-10,1.1003179634674567,0.9273306542431751,1.0,0.015275120995956603
2023-01-11,1.1320266148853928,0.954054206380687,1.0,0.028817716760718835
2023-01-12,1.1878868830275844,1.0020864150136812,0.0,0.049345366449574976
2023-01-13,1.1878868830275844,1.0596909298371175,0.0,0.0
2023-01-14,1.1878868830275844,1.1141860269745179,0.0,0.0
2023-01-15,1.1878868830275844,1.109750534098849,0.0,-0.0
2023-01-16,1.1878868830275844,1.1264540834502208,0.0,0.0
2023-01-17,1.1878868830275844,1.1237508892785713,0.0,-0.0
2023-01-18,1.1878868830275844,1.0994338392694791,0.0,-0.0
2023-01-19,1.1878868830275844,1.120389442867641,0.0,0.0
2023-01-20,1.1878868830275844,1.2052295428709376,0.0,0.0
