fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,cohen_kappa
0,800,63,0.9047619047619048,0.8636363636363636,0.8260869565217391,0.9047619047619048,0.7906976744186047
1,821,63,0.8571428571428571,0.7804878048780488,0.7272727272727273,0.8421052631578947,0.6754436176302232
2,842,63,0.8253968253968254,0.7555555555555555,0.7727272727272727,0.7391304347826086,0.6198573779484366
3,863,63,0.9365079365079365,0.8,0.8,0.8,0.7622641509433963
4,884,63,0.9682539682539683,0.8571428571428571,1.0,0.75,0.8396946564885497
5,905,63,0.9206349206349206,0.6666666666666666,1.0,0.5,0.6272189349112426
6,926,63,1.0,1.0,1.0,1.0,1.0
7,947,63,1.0,1.0,1.0,1.0,1.0
8,968,63,0.9682539682539683,0.8,0.8,0.8,0.7827586206896552
9,989,63,0.8888888888888888,0.7878787878787878,0.7222222222222222,0.8666666666666667,0.7134502923976608
10,1010,63,0.9047619047619048,0.875,0.875,0.875,0.7980769230769231
11,1031,63,0.9365079365079365,0.8888888888888888,0.9411764705882353,0.8421052631578947,0.8446362515413071
12,1052,63,0.873015873015873,0.6923076923076923,0.5625,0.9,0.6176024279210925
13,1073,63,0.8571428571428571,0.64,0.6153846153846154,0.6666666666666666,0.5510688836104514
14,1094,63,0.8412698412698413,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6464646464646464
15,1115,63,0.9682539682539683,0.9375,1.0,0.8823529411764706,0.9163346613545816
16,1136,63,0.9841269841269841,0.9090909090909091,1.0,0.8333333333333334,0.9004739336492891
17,1157,63,0.9841269841269841,0.0,0.0,0.0,0.0
18,1178,63,0.9841269841269841,0.0,0.0,0.0,0.0
19,1199,63,1.0,0.0,0.0,0.0,
20,1220,63,0.9841269841269841,0.8888888888888888,0.8,1.0,0.8804554079696395
21,1241,63,1.0,1.0,1.0,1.0,1.0
22,1262,63,0.9841269841269841,0.9473684210526315,0.9,1.0,0.9380530973451328
23,1283,63,1.0,1.0,1.0,1.0,1.0
24,1304,63,1.0,1.0,1.0,1.0,1.0
25,1325,63,0.9682539682539683,0.9090909090909091,0.8333333333333334,1.0,0.8900523560209423
26,1346,63,0.9206349206349206,0.8571428571428571,0.75,1.0,0.8037383177570093
27,1367,63,0.9523809523809523,0.896551724137931,0.8666666666666667,0.9285714285714286,0.8656716417910448
28,1388,63,0.9523809523809523,0.9230769230769231,0.9,0.9473684210526315,0.8886269888037713
29,1409,63,0.9047619047619048,0.85,0.8947368421052632,0.8095238095238095,0.7804878048780488
30,1430,63,0.8888888888888888,0.8985507246376812,0.9117647058823529,0.8857142857142857,0.7758007117437722
31,1451,63,0.9523809523809523,0.9411764705882353,0.96,0.9230769230769231,0.9012023000522739
32,1472,63,0.9682539682539683,0.9565217391304348,0.9166666666666666,1.0,0.9315960912052117
33,1493,63,0.9365079365079365,0.8,0.8,0.8,0.7622641509433963
34,1514,63,0.9682539682539683,0.75,1.0,0.6,0.7341772151898733
35,1535,63,0.9841269841269841,0.6666666666666666,1.0,0.5,0.6594594594594594
36,1556,63,1.0,0.0,0.0,0.0,
37,1577,63,0.9365079365079365,0.6666666666666666,1.0,0.5,0.6358381502890174
38,1598,63,0.9206349206349206,0.6153846153846154,1.0,0.4444444444444444,0.5783132530120483
39,1619,63,0.8095238095238095,0.4,0.36363636363636365,0.4444444444444444,0.288135593220339
40,1640,63,0.8888888888888888,0.7586206896551724,0.6470588235294118,0.9166666666666666,0.6892177589852009
41,1661,63,0.6984126984126984,0.6122448979591837,0.4411764705882353,1.0,0.420899854862119
42,1682,63,0.873015873015873,0.8260869565217391,0.7037037037037037,1.0,0.7307692307692308
43,1703,63,0.9682539682539683,0.8888888888888888,0.8,1.0,0.8706365503080082
44,1724,63,1.0,1.0,1.0,1.0,1.0
45,1745,63,0.9682539682539683,0.0,0.0,0.0,0.0
46,1766,63,0.9682539682539683,0.0,0.0,0.0,0.0
47,1787,63,0.9682539682539683,0.0,0.0,0.0,0.0
48,1808,63,0.873015873015873,0.0,0.0,0.0,0.0
49,1829,63,0.8571428571428571,0.47058823529411764,1.0,0.3076923076923077,0.4136504653567735
50,1850,63,0.7777777777777778,0.3,1.0,0.17647058823529413,0.23834196891191706
51,1871,63,0.873015873015873,0.7142857142857143,1.0,0.5555555555555556,0.641025641025641
52,1892,63,0.7936507936507936,0.7636363636363637,0.6176470588235294,1.0,0.597938144329897
53,1913,63,0.7777777777777778,0.7741935483870968,0.631578947368421,1.0,0.5763688760806918
54,1934,63,0.746031746031746,0.7419354838709677,0.6216216216216216,0.92,0.5097276264591439
55,1955,63,0.9365079365079365,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8444444444444444
